student_id,gender,age,subject,exam_score,exam_date,region,grade_level,school,score_status,performance_level
7441,Female,21,Math,48.23,2025-07-02,Port Johnnyton,Year 1,"Lawson, Warner and Murphy",Fail,Low
8999,Male,22,English,71.79,2025-09-09,North Karen,Year 2,"Smith, Kennedy and Smith",Pass,Good
3985,Female,24,History,41.66,2025-05-10,Hurleyland,Year 2,"Stewart, Villanueva and Phelps",Fail,Low
8641,Male,24,History,56.96,2025-08-12,West Karenton,Year 4,Valencia-Gallagher,Pass,Average
1278,Male,24,English,68.71,2024-10-21,East Courtney,Year 4,Holt Inc,Pass,Average
1345,Male,21,English,40.6,2025-06-01,West Angelabury,Year 2,Nash-Jones,Fail,Low
5827,Male,21,Science,78.24,2025-01-16,South Emilyland,Year 1,Williams-Cameron,Pass,Good
1410,Male,25,Math,60.46,2024-12-12,Sarahberg,Year 4,"King, Lang and Palmer",Pass,Average
4298,Male,18,Science,93.43,2025-08-06,Brianfort,Year 2,"Miller, Howell and James",Pass,Excellent
6098,Male,19,History,74.74,2025-09-15,South Sydneyshire,Year 2,"Johnson, Johnson and Miles",Pass,Good
3321,Female,22,Science,40.55,2025-03-04,Hernandezbury,Year 3,Berry Ltd,Fail,Low
7232,Female,22,Math,85.1,2025-08-10,New Virginiafurt,Year 2,"Howard, Jones and Cabrera",Pass,Excellent
9867,Female,23,Computer,85.86,2024-11-25,Port Andrewchester,Year 4,"Velez, Foster and Small",Pass,Excellent
2916,Male,18,History,93.36,2025-02-04,South Charlotte,Year 2,Byrd-Roberts,Pass,Excellent
1376,Male,21,English,52.56,2025-09-19,Port Jamesberg,Year 2,Conner-Fox,Pass,Average
5833,Male,22,History,61.64,2024-11-06,New Charlestown,Year 3,Carter PLC,Pass,Average
8445,Female,21,History,91.18,2025-04-23,East Laurabury,Year 1,Adams-Smith,Pass,Excellent
6857,Male,19,History,41.0,2025-05-30,South Jeffrey,Year 2,Owens-Macias,Fail,Low
8382,Male,23,Computer,52.62,2025-02-04,Stephaniebury,Year 4,"Welch, Lowe and Pope",Pass,Average
4795,Female,25,Math,40.9,2025-05-11,Petersonfort,Year 3,"Mcintyre, Munoz and Snyder",Fail,Low
4048,Male,22,Computer,91.64,2025-07-30,Liuchester,Year 3,"Wheeler, Williams and Perez",Pass,Excellent
6990,Female,19,History,88.99,2024-11-03,Mathewside,Year 2,"Lara, Myers and Barnett",Pass,Excellent
6563,Male,25,English,44.01,2025-07-13,West Cherylchester,Year 4,Garcia-Mckee,Fail,Low
9013,Male,20,Computer,97.96,2025-01-31,Phillipschester,Year 1,"Giles, Ramirez and Chen",Pass,Excellent
1270,Male,19,Science,88.39,2025-06-14,Morrisbury,Year 2,"Leach, Rocha and Wilson",Pass,Excellent
6388,Female,23,Science,59.17,2024-12-05,South Brianland,Year 2,"Hill, Davis and Roberts",Pass,Average
4119,Female,18,Computer,80.74,2025-06-17,Lewisfurt,Year 3,Molina Inc,Pass,Good
9702,Male,20,Math,54.81,2025-08-14,Garzastad,Year 3,"Nunez, Mooney and Clark",Pass,Average
6775,Male,22,Computer,59.67,2025-07-29,Bowenville,Year 1,Reyes-Jones,Pass,Average
1315,Male,24,English,92.43,2024-12-23,Port Matthewtown,Year 3,Williams-Johnson,Pass,Excellent
4841,Male,20,Math,44.92,2025-08-19,Port Lorimouth,Year 4,"Marshall, Holmes and Hale",Fail,Low
6313,Male,23,Science,47.79,2025-06-08,East Angelamouth,Year 1,Clark Inc,Fail,Low
9576,Female,18,Computer,59.75,2025-10-18,South Dawnmouth,Year 1,Crawford and Sons,Pass,Average
7293,Male,19,Math,69.62,2024-11-27,Port Markville,Year 4,Phillips Inc,Pass,Average
8396,Female,22,Science,72.42,2024-12-04,West Rebecca,Year 1,"Dixon, Hardy and Morgan",Pass,Good
7137,Female,24,History,57.55,2025-10-16,Kaufmantown,Year 3,Kennedy Group,Pass,Average
8016,Female,22,Science,49.23,2025-06-03,Nicholasport,Year 2,"Moore, Johnson and Perez",Fail,Low
1811,Male,19,Computer,42.78,2025-03-20,Port Drew,Year 1,"Reese, Davis and Scott",Fail,Low
8428,Female,19,Science,91.82,2024-10-22,North Gina,Year 4,"Bates, Gonzales and Graham",Pass,Excellent
3498,Female,22,Computer,79.61,2025-09-17,East Ianton,Year 2,Williams-Spencer,Pass,Good
6572,Male,23,History,70.28,2025-07-22,Thomasville,Year 3,"Kane, Calhoun and Rodriguez",Pass,Good
6915,Female,21,Computer,67.48,2025-08-31,South Kari,Year 1,"Harris, Mitchell and Haynes",Pass,Average
3154,Male,20,English,82.03,2025-10-16,Joshualand,Year 4,"Mullen, Webster and Reyes",Pass,Good
6089,Male,24,English,64.29,2024-10-28,Christophermouth,Year 1,Santos Group,Pass,Average
